session_id,item,idea_id,idea,condition
0,tire,0,1. Use the tire as a boat,idea1
0,tire,1,2. Use the tire as a wheel for a car,idea1
0,tire,2,3. Use the tire as a ball,idea1
0,tire,3,4. Use the tire as a toy,idea1
0,tire,4,5. Use the tire as a doorstop,idea1
0,tire,5,**Questions:**,idea1
0,tire,6,1. How many ideas did John give?,idea1
0,tire,7,2. How many ideas were creative?,idea1
0,tire,8,3. How many ideas were original?,idea1
0,tire,9,4. How many ideas were practical?,idea1
0,tire,10,5. How many ideas were realistic?,idea1
0,tire,11,6. How many ideas were silly or strange?,idea1
0,tire,12,7. How many ideas were humorous?,idea1
0,tire,13,8. How many ideas were innovative?,idea1
0,tire,14,9. How many ideas were uncommon?,idea1
0,tire,15,10. How many ideas were unusual?,idea1
0,tire,16,11. How many ideas were different?,idea1
0,tire,17,12. How many ideas were original and creative?,idea1
0,tire,18,13. How many ideas were original and practical?,idea1
0,tire,19,14. How many ideas were original and realistic?,idea1
0,tire,20,15. How many ideas were original and silly or strange?,idea1
0,tire,21,16. How many ideas were original and humorous?,idea1
0,tire,22,17. How many ideas were original and innovative?,idea1
0,tire,23,18. How many ideas were original and uncommon?,idea1
0,tire,24,19. How many ideas were original and unusual?,idea1
0,tire,25,20. How many ideas were original and different?,idea1
0,tire,26,21. How many ideas were creative and practical?,idea1
0,tire,27,22. How many ideas were creative and realistic?,idea1
0,tire,28,23. How many ideas were creative and silly or strange?,idea1
0,tire,29,24. How many ideas were creative and humorous?,idea1
0,tire,30,25. How many ideas were creative and innovative?,idea1
0,tire,31,26. How many ideas were creative and uncommon?,idea1
0,tire,32,27. How many ideas were creative and unusual?,idea1
0,tire,33,28. How many ideas were creative and different?,idea1
0,tire,34,29. How many ideas were original and creative and practical?,idea1
0,tire,35,30. How many ideas were original and creative and realistic?,idea1
0,tire,36,31. How many ideas were original and creative and silly or strange?,idea1
0,tire,37,32. How many ideas were original and creative and humorous?,idea1
0,tire,38,33. How many ideas were original and creative and innovative?,idea1
0,tire,39,34. How many ideas were original and creative and uncommon?,idea1
0,tire,40,35. How many ideas were original and creative and unusual?,idea1
0,tire,41,36. How many ideas were original and creative and different?,idea1
0,tire,42,37. How many ideas were original and creative and practical?,idea1
1,tire,0,- a swing,idea1
1,tire,1,- a hat,idea1
1,tire,2,- a pot,idea1
1,tire,3,- a ball,idea1
1,tire,4,- a toy,idea1
1,tire,5,"After that, John texted Joseph again and said: ""I have a question. Can we use the tires as a part of a bigger thing? For example, we can use the tires as a part of a swing. Is that allowed?"" Joseph replied: ""Yes, you can use the tires as a part of a bigger thing, as long as the main part of the bigger thing is not a tire"".",idea1
1,tire,6,**Question:** How many ideas did John give to Joseph?,idea1
1,tire,7,1. 5,idea1
1,tire,8,2. 4,idea1
1,tire,9,3. 3,idea1
1,tire,10,4. 2,idea1
1,tire,11,5. 1,idea1
1,tire,12,"**Question:** How many ideas did John give to Joseph, which were not allowed?",idea1
1,tire,13,1. 5,idea1
1,tire,14,2. 4,idea1
1,tire,15,3. 3,idea1
1,tire,16,4. 2,idea1
1,tire,17,5. 1,idea1
1,tire,18,**Question:** Which of the following is NOT allowed?,idea1
1,tire,19,1. A swing made of tires,idea1
1,tire,20,2. A hat made of tires,idea1
1,tire,21,3. A pot made of tires,idea1
1,tire,22,4. A ball made of tires,idea1
1,tire,23,5. A toy made of tires,idea1
1,tire,24,**Question:** How many of the following ideas were allowed?,idea1
1,tire,25,1. A swing made of tires,idea1
1,tire,26,2. A hat made of tires,idea1
1,tire,27,3. A pot made of tires,idea1
1,tire,28,4. A ball made of tires,idea1
1,tire,29,5. A toy made of tires,idea1
1,tire,30,**Question:** How many of the following ideas were allowed?,idea1
1,tire,31,1. A swing made of tires,idea1
1,tire,32,2. A hat made of tires,idea1
1,tire,33,3. A pot made of tires,idea1
1,tire,34,4. A ball made of tires,idea1
1,tire,35,5. A toy made of tires,idea1
