session_id,item,idea_id,idea,condition
0,tire,0,A tire can be used as a chair.,idea1
0,tire,1,A tire can be used as a table.,idea1
0,tire,2,A tire can be used as a bed.,idea1
0,tire,3,A tire can be used as a stool.,idea1
0,tire,4,A tire can be used as a couch.,idea1
0,tire,5,A tire can be used as a sofa.,idea1
0,tire,6,A tire can be used as a chair.,idea1
0,tire,7,A tire can be used as a table.,idea1
0,tire,8,A tire can be used as a bed.,idea1
0,tire,9,A tire can be used as a stool.,idea1
0,tire,10,A tire can be used as a couch.,idea1
0,tire,11,A tire can be used as a sofa.,idea1
0,tire,12,A tire can be used as a chair.,idea1
0,tire,13,A tire can be used as a table.,idea1
0,tire,14,A tire can be used as a bed.,idea1
0,tire,15,A tire can be used as a stool.,idea1
0,tire,16,A tire can be used as a couch.,idea1
0,tire,17,A tire can be used as a sofa.,idea1
0,tire,18,A tire can be used as a chair.,idea1
0,tire,19,A tire can be used as a table.,idea1
0,tire,20,A tire can be used as a bed.,idea1
0,tire,21,A tire can be used as a stool.,idea1
0,tire,22,A tire can be used as a couch.,idea1
0,tire,23,A tire can be used as a sofa.,idea1
0,tire,24,A tire can be used as a chair.,idea1
0,tire,25,A tire can be used as a table.,idea1
0,tire,26,A tire can be used as a bed.,idea1
0,tire,27,A tire can be used as a stool.,idea1
0,tire,28,A tire can be used as a couch.,idea1
0,tire,29,A tire can be used as a sofa.,idea1
0,tire,30,A tire can be used as a chair.,idea1
0,tire,31,A tire can be used as a table.,idea1
0,tire,32,A tire can be used as a bed.,idea1
0,tire,33,A tire can be used as a stool.,idea1
0,tire,34,A tire can be used as a couch.,idea1
0,tire,35,A tire can be used as a sofa.,idea1
0,tire,36,A tire can be used as a chair.,idea1
0,tire,37,A tire can be used as a table.,idea1
0,tire,38,A tire can be used as a bed.,idea1
0,tire,39,A tire can be used as a stool.,idea1
0,tire,40,A tire can be used as a couch.,idea1
0,tire,41,A tire can be used as a sofa.,idea1
0,tire,42,A tire can be used as a chair.,idea1
0,tire,43,A tire can be used as a table.,idea1
1,tire,0,"Joseph and John exchanged one text message. Joseph said: ""For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones"". Then, John gave a list of ideas:.",idea1
1,tire,1,1. Make a tire-shaped cake and eat it.,idea1
1,tire,2,2. Make a tire-shaped cake and give it to someone as a gift.,idea1
1,tire,3,"3. Make a tire-shaped cake and give it to someone as a gift, but make it taste bad.",idea1
1,tire,4,"4. Make a tire-shaped cake and give it to someone as a gift, but make it taste good.",idea1
1,tire,5,"5. Make a tire-shaped cake and give it to someone as a gift, but make it taste good, and then eat it.",idea1
1,tire,6,"6. Make a tire-shaped cake and give it to someone as a gift, but make it taste good, and then give it to someone else as a gift.",idea1
1,tire,7,"7. Make a tire-shaped cake and give it to someone as a gift, but make it taste good, and then eat it, and then give it to someone else as a gift.",idea1
1,tire,8,"8. Make a tire-shaped cake and give it to someone as a gift, but make it taste good, and then eat it, and then give it to someone else as a gift, and then eat it.",idea1
1,tire,9,"9. Make a tire-shaped cake and give it to someone as a gift, but make it taste good, and then eat it, and then give it to someone else as a gift, and then eat it, and then give it to someone else as a gift.",idea1
2,tire,0,1. A tire can be used as a seat cushion for a chair.,idea1
2,tire,1,2. A tire can be used as a paddle for a canoe.,idea1
2,tire,2,3. A tire can be used as a floatation device for a swimmer.,idea1
2,tire,3,4. A tire can be used as a shield for a knight in armor.,idea1
2,tire,4,5. A tire can be used as a helmet for a football player.,idea1
2,tire,5,6. A tire can be used as a weapon for a samurai.,idea1
2,tire,6,7. A tire can be used as a tire swing for a child.,idea1
2,tire,7,8. A tire can be used as a tire swing for a dog.,idea1
2,tire,8,9. A tire can be used as a tire swing for a cat.,idea1
2,tire,9,10. A tire can be used as a tire swing for a bird.,idea1
2,tire,10,11. A tire can be used as a tire swing for a fish.,idea1
2,tire,11,12. A tire can be used as a tire swing for a squirrel.,idea1
2,tire,12,13. A tire can be used as a tire swing for a rabbit.,idea1
2,tire,13,14. A tire can be used as a tire swing for a bear.,idea1
2,tire,14,15. A tire can be used as a tire swing for a deer.,idea1
2,tire,15,16. A tire can be used as a tire swing for a fox.,idea1
2,tire,16,17. A tire can be used as a tire swing for a horse.,idea1
2,tire,17,18. A tire can be used as a tire swing for a cow.,idea1
2,tire,18,19. A tire can be used as a tire swing for a pig.,idea1
2,tire,19,20. A tire can be used as a tire swing for a goat.,idea1
2,tire,20,21. A tire can be used as a tire swing for a sheep.,idea1
2,tire,21,22. A tire can be used as a tire swing for a llama.,idea1
2,tire,22,23. A tire can be used as a tire swing for a camel.,idea1
2,tire,23,24. A tire can be used as a tire swing for a moose.,idea1
2,tire,24,25. A tire can be used as a tire swing for a giraffe.,idea1
2,tire,25,26. A tire can be used as a tire swing for a zebra.,idea1
3,tire,0,A tire swing.,idea1
3,tire,1,A tire swing for dogs.,idea1
3,tire,2,A tire swing for cats.,idea1
3,tire,3,A tire swing for squirrels.,idea1
3,tire,4,A tire swing for birds.,idea1
3,tire,5,A tire swing for snakes.,idea1
3,tire,6,A tire swing for fish.,idea1
3,tire,7,A tire swing for rabbits.,idea1
3,tire,8,A tire swing for mice.,idea1
3,tire,9,A tire swing for mice.,idea1
3,tire,10,A tire swing for cats.,idea1
3,tire,11,A tire swing for squirrels.,idea1
3,tire,12,A tire swing for birds.,idea1
3,tire,13,A tire swing for snakes.,idea1
3,tire,14,A tire swing for fish.,idea1
3,tire,15,A tire swing for rabbits.,idea1
3,tire,16,A tire swing for mice.,idea1
3,tire,17,A tire swing for mice.,idea1
3,tire,18,A tire swing for dogs.,idea1
3,tire,19,A tire swing for cats.,idea1
3,tire,20,A tire swing for squirrels.,idea1
3,tire,21,A tire swing for birds.,idea1
3,tire,22,A tire swing for snakes.,idea1
3,tire,23,A tire swing for fish.,idea1
3,tire,24,A tire swing for rabbits.,idea1
3,tire,25,A tire swing for mice.,idea1
3,tire,26,A tire swing for mice.,idea1
3,tire,27,A tire swing for cats.,idea1
3,tire,28,A tire swing for squirrels.,idea1
3,tire,29,A tire swing for birds.,idea1
3,tire,30,A tire swing for snakes.,idea1
3,tire,31,A tire swing for fish.,idea1
3,tire,32,A tire swing for rabbits.,idea1
3,tire,33,A tire swing for mice.,idea1
3,tire,34,A tire swing for mice.,idea1
3,tire,35,A tire swing for dogs.,idea1
3,tire,36,A tire swing for cats.,idea1
3,tire,37,A tire swing for squirrels.,idea1
3,tire,38,A tire swing for birds.,idea1
3,tire,39,A tire swing for snakes.,idea1
3,tire,40,A tire swing for fish.,idea1
3,tire,41,A tire swing for rabbits.,idea1
3,tire,42,A tire swing for mice.,idea1
3,tire,43,A tire swing for mice.,idea1
3,tire,44,A tire swing for cats.,idea1
3,tire,45,A tire swing for squirrels.,idea1
3,tire,46,A tire swing for birds.,idea1
3,tire,47,A tire swing for snakes.,idea1
3,tire,48,A tire swing for fish.,idea1
3,tire,49,A tire swing for rabbits.,idea1
3,tire,50,A tire swing for mice.,idea1
3,tire,51,A tire swing for mice.,idea1
3,tire,52,A tire swing for dogs.,idea1
3,tire,53,A tire swing for cats.,idea1
3,tire,54,A tire swing for squirrels.,idea1
3,tire,55,A tire swing for birds.,idea1
3,tire,56,A tire swing for snakes.,idea1
4,tire,0,1. Putting a tire on a car and driving it around,idea1
4,tire,1,2. Using a tire as a chair,idea1
4,tire,2,3. Using a tire as a table,idea1
4,tire,3,4. Using a tire as a bed,idea1
4,tire,4,5. Using a tire as a couch,idea1
4,tire,5,6. Using a tire as a desk,idea1
4,tire,6,7. Using a tire as a dresser,idea1
4,tire,7,8. Using a tire as a bookshelf,idea1
4,tire,8,9. Using a tire as a coat rack,idea1
4,tire,9,10. Using a tire as a lamp,idea1
4,tire,10,11. Using a tire as a vase,idea1
4,tire,11,12. Using a tire as a planter,idea1
4,tire,12,13. Using a tire as a bird feeder,idea1
4,tire,13,14. Using a tire as a dog bed,idea1
4,tire,14,15. Using a tire as a cat bed,idea1
4,tire,15,16. Using a tire as a fish tank,idea1
4,tire,16,17. Using a tire as a terrarium,idea1
4,tire,17,18. Using a tire as a hammock,idea1
4,tire,18,19. Using a tire as a swing,idea1
4,tire,19,20. Using a tire as a hula hoop,idea1
4,tire,20,21. Using a tire as a jump rope,idea1
4,tire,21,22. Using a tire as a skipping rope,idea1
4,tire,22,23. Using a tire as a yo-yo,idea1
4,tire,23,24. Using a tire as a Frisbee,idea1
4,tire,24,25. Using a tire as a football,idea1
4,tire,25,26. Using a tire as a baseball,idea1
4,tire,26,27. Using a tire as a soccer ball,idea1
4,tire,27,28. Using a tire as a tennis ball,idea1
4,tire,28,29. Using a tire as a basketball,idea1
4,tire,29,30. Using a tire as a beach ball,idea1
4,tire,30,31. Using a tire as a volleyball,idea1
4,tire,31,32. Using a tire as a handball,idea1
4,tire,32,33. Using a tire as a ping pong ball,idea1
4,tire,33,34. Using a tire as a dodgeball,idea1
4,tire,34,35. Using a tire as a bowling ball,idea1
4,tire,35,36. Using a tire as a golf ball,idea1
4,tire,36,37. Using a tire as a hockey puck,idea1
4,tire,37,38. Using a tire as a lacrosse ball,idea1
4,tire,38,39. Using a tire as a football,idea1
4,tire,39,40. Using a tire as a rugby ball,idea1
4,tire,40,41. Using a tire as a cricket ball,idea1
4,tire,41,42. Using a tire as a baseball,idea1
5,tire,0,"""1. A tire swing.",idea1
5,tire,1,2. A tire boat.,idea1
5,tire,2,3. A tire raft.,idea1
5,tire,3,4. A tire pillow.,idea1
5,tire,4,5. A tire tent.,idea1
5,tire,5,6. A tire door.,idea1
5,tire,6,7. A tire chair.,idea1
5,tire,7,8. A tire couch.,idea1
5,tire,8,9. A tire bed.,idea1
5,tire,9,10. A tire chair.,idea1
5,tire,10,11. A tire table.,idea1
5,tire,11,12. A tire bed.,idea1
5,tire,12,13. A tire chair.,idea1
5,tire,13,14. A tire table.,idea1
5,tire,14,15. A tire chair.,idea1
5,tire,15,16. A tire table.,idea1
5,tire,16,17. A tire bed.,idea1
5,tire,17,21. A tire door.,idea1
5,tire,18,22. A tire couch.,idea1
5,tire,19,23. A tire door.,idea1
5,tire,20,26. A tire bed.,idea1
5,tire,21,31. A tire table.,idea1
5,tire,22,33. A tire chair.,idea1
5,tire,23,41. A tire couch.,idea1
5,tire,24,43. A tire bed.,idea1
5,tire,25,45. A tire door.,idea1
5,tire,26,52. A tire couch.,idea1
5,tire,27,61. A tire table.,idea1
5,tire,28,62. A tire bed.,idea1
5,tire,29,71. A tire door.,idea1
5,tire,30,73. A tire couch.,idea1
5,tire,31,81. A tire table.,idea1
5,tire,32,82. A tire bed.,idea1
5,tire,33,91. A tire door.,idea1
5,tire,34,92. A tire couch.,idea1
5,tire,35,100. A tire door.,idea1
5,tire,36,101. A tire couch.,idea1
5,tire,37,102. A tire door.,idea1
5,tire,38,103. A tire couch.,idea1
5,tire,39,104. A tire door.,idea1
5,tire,40,105. A tire couch.,idea1
5,tire,41,106. A tire door.,idea1
5,tire,42,107. A tire couch.,idea1
5,tire,43,108. A tire door.,idea1
5,tire,44,109. A tire couch.,idea1
5,tire,45,110. A tire door.,idea1
5,tire,46,111. A tire couch.,idea1
5,tire,47,112. A tire door.,idea1
5,tire,48,113. A tire couch.,idea1
5,tire,49,114. A tire door.,idea1
5,tire,50,115. A tire couch.,idea1
5,tire,51,116. A tire door.,idea1
5,tire,52,117. A tire couch.,idea1
6,tire,0,"1. ""Tire as a table""",idea1
6,tire,1,"2. ""Tire as a chair""",idea1
6,tire,2,"3. ""Tire as a bed""",idea1
6,tire,3,"4. ""Tire as a storage container""",idea1
