session_ids,item_names,responses,conditions
0,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The winner of this task will receive 2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",base-input-prompt-only
1,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The tire is a tube with an inner and outer layer of rubber. It is used to cover the wheel of a vehicle.
The tire is a tube with an inner and outer layer of rubber. It is used to cover the wheel of a vehicle. The tire is a tube with an inner and outer layer of rubber. It is used to cover the wheel of a vehicle.
The tire is a tube with an inner and outer layer of rubber. It is used to cover the wheel of a vehicle. The tire is a tube with an inner and outer layer of rubber. It is used to cover the wheel of a vehicle. The tire is a tube with an inner and outer layer of rubber. It is used to cover the wheel of a vehicle. The tire is a tube with an inner and outer layer of rubber. It is used to cover the wheel of a vehicle. The tire is a tube with an inner and outer layer of rubber. It is used to cover the wheel of a vehicle. The tire is a tube with an inner and outer layer of rubber. It is used to cover the",base-input-prompt-only
2,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The best ideas will be selected by the judges and will be awarded cash prizes.
The contest is open to all ages and nationalities.
To enter, you can either submit your ideas online at the contest website or send them by email to contest@tire-recycling.org.
The deadline for submitting your ideas is 15th September 2012.
The winners will be announced on 15th October 2012.
The best ideas will be selected by the judges and will be awarded cash prizes.
The prizes are 1st place: $200, 2nd place: $100, and 3rd place: $50.
All winners will also receive a certificate of participation.
The best ideas will be published on the contest website and on the Facebook page of the contest.
The best ideas will also be sent to the tire recycling companies in order to be used in the future.
For more information about the contest and to submit your ideas, please visit the contest website.
The contest is organized by the Tire Recycling Research Center at",base-input-prompt-only
3,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The best ideas will be selected and the winners will be announced on the site on December 12, 2011.
For more information, please visit http://www.tiretalk.com/tire-talk-tire-creativity-contest.
About TireTalk.com
TireTalk.com is a website dedicated to providing information about tires. TireTalk.com provides information about tires for every car, truck, and SUV, including information about tire sizes, tire types,",base-input-prompt-only
4,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The winner of the contest will receive a $1000 prize.
If you are interested, you can find more information and register at http://www.wheelright.com/contest.html.
The contest ends on April 28, 2010.
I'm not sure if this is an April Fool's joke or not. But if it is, it's a pretty good one.
The contest is sponsored by Wheelright, which is a site that helps you sell your tires online. It's a good idea, but I'm not sure how many people are going to want to buy tires online.
I'm not sure how many people are going to want to sell their tires online either.
The contest is also sponsored by Rubber Manufacturers Association, which is an industry association for tire manufacturers.
I'm not sure how many people are going to want to buy tires from an industry association.
I'm not sure how many people are going to want to buy tires from an industry association that is sponsoring a contest to come up with creative uses for",base-input-prompt-only
5,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
Ideas for using tire:
1. Tire as a gift for a friend
2. Tire as a gift for a family member
3. Tire as a gift for a loved one
4. Tire as a gift for a stranger
5. Tire as a gift for a pet
6. Tire as a gift for a group of people
7. Tire as a gift for a group of animals
8. Tire as a gift for a group of people and animals
9. Tire as a gift for a group of people and animals and a group of people and animals
10. Tire as a gift for a group of people and animals and a group of people and animals and a group of people and animals
11. Tire as a gift for a group of people and animals and a group of people and animals and a group of people and animals and a group of people and animals
12. Tire as a gift for a group of people and animals and a group of people and animals and a group of people and animals and a group of people and animals and a group of people and animals and a group of people and animals and a group",base-input-prompt-only
6,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
There are many possible uses for tires. For example, you could use tires as a seat for a chair, a table, or a bed. You could use them as a planter for plants or a place to store things. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to store things or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place to hang clothes. You could use them as a place to sit or as a place",base-input-prompt-only
7,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The more creative your ideas are, the higher your score will be. You can type in your ideas in a list, or as a paragraph, or as a bulleted list.
You can also use your own creative ideas, or you can use the ideas below.
1. Make a tire swing.
2. Use tires to make a chair.
3. Make a tire raft.
4. Make a tire boat.
5. Make a tire swing chair.
6. Make a tire swing chair with a seat.
7. Make a tire swing chair with a back.
8. Make a tire swing chair with a seat and a back.
9. Make a tire swing chair with a seat, a back, and a footrest.
10. Make a tire swing chair with a seat, a back, a footrest, and a headrest.
11. Make a tire swing chair with a seat, a back, a footrest, a headrest, and a rope.
12. Make a tire swing chair with a seat, a back, a footrest, a headrest,",base-input-prompt-only
8,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
4. Submit your ideas. If you've come up with five creative ideas, you're done! If you've come up with fewer than five, you can keep thinking of ideas until you come up with five. Once you've come up with five, you can submit your answers. If you're not sure if your ideas are creative, you can check with your parents or teacher to see if they think your ideas are creative.
5. Check your email. If you submitted your answers, you should receive an email within a few minutes of your submission. This email will tell you whether you've won a prize. If you've won, it will also tell you how to claim your prize. If you haven't won, it will tell you that you didn't win. If you've won, you'll receive your prize within 4-6 weeks.
6. Claim your prize. If you've won, you can claim your prize by printing out the email and sending it to the address on the email.
7. Enjoy your prize! If you've won, you'll receive your prize within 4-6 weeks",base-input-prompt-only
9,tire,"For this task, you have to come up with original and creative uses for tire. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
Ideas can be for any of the following:
- A use for a tire
- A use for a tire tube
- A use for tire rubber
- A use for a tire rim
- A use for tire shreds
- A use for a tire wheel
- A use for a tire valve
- A use for a tire valve stem
- A use for a tire valve core
- A use for tire valve caps
- A use for tire valve stems
- A use for tire valve cores
- A use for tire valve caps
- A use for a tire valve stem
- A use for a tire valve core
- A use for a tire valve stem
- A use for a tire valve cap
- A use for a tire valve cap
- A use for a tire valve stem cap
- A use for a tire valve cap stem
- A use for a tire valve cap stem
- A use for a tire valve cap stem cap
- A use for a",base-input-prompt-only
